,index,d,ndvi
0,2,2014-12-04,0.6322223247238421
1,4,2014-31-03,0.843385651735557
2,9,2014-04-04,0.8407795368162709
3,13,2015-16-03,0.700638095028355
4,16,2015-07-03,0.8473551614650999
5,20,2016-29-04,0.6711616227627593
6,22,2016-17-03,0.6536639473701488
7,26,2016-05-03,0.8337574499453253
8,29,2016-24-04,0.7835377706914055
9,32,2016-12-04,0.6385071094069578
10,39,2017-23-03,0.7795409320006945
11,40,2017-24-03,0.8342570973002208
12,42,2017-12-04,0.7717170084566379
13,47,2018-07-03,0.3405626671441954
14,51,2018-26-02,0.7605120820846731
15,53,2018-27-02,0.8211954250918289
16,55,2018-15-03,0.7180696929932513
17,58,2018-02-03,0.7784807278318094
18,59,2018-18-03,0.7409529945597906
19,64,2019-13-03,0.8249754230258726
20,66,2019-01-04,0.7636492497814729
21,67,2019-17-04,0.8141730083622403
22,75,2020-31-03,0.7826352569410133
23,76,2020-03-03,0.8431634984491146
24,80,2020-06-04,0.8214827666186997
25,83,2014-19-10,0.6298202351133965
26,86,2014-23-09,0.8674502928565244
27,87,2014-09-09,0.8403256162118992
28,88,2014-25-10,0.8149112310310409
29,89,2014-26-10,0.8048045551962782
30,90,2014-11-10,0.7980771333189738
31,91,2014-29-10,0.7746784772907028
32,94,2015-22-09,0.5826343695418684
33,96,2015-23-09,0.7320969772198843
34,97,2015-10-09,0.8269470002291919
35,99,2015-13-09,0.8316792039924167
36,101,2015-30-10,0.8418230128351384
37,103,2015-01-10,0.8213700039485584
38,104,2016-09-09,0.7285434773359347
39,108,2016-30-10,0.7887718838596353
40,109,2016-15-10,0.7851510914569282
41,114,2016-19-10,0.958277166115349
42,116,2017-27-09,0.7387333052357766
43,119,2017-14-09,0.7708245259041188
44,121,2017-01-09,0.8205780867350132
45,122,2017-17-09,0.8151801444441497
46,123,2017-18-10,0.8691987714400338
47,125,2017-19-10,0.8388622739891045
48,127,2017-06-10,0.5790847389200768
49,128,2018-25-10,0.5872605484462868
50,141,2019-28-09,0.6474061974451608
51,143,2019-02-09,0.7714222765515885
52,146,2019-20-09,0.8671370287276512
53,148,2019-07-10,0.8017709710304541
54,150,2019-08-10,0.8099379159610037
55,151,2019-24-10,0.6887817990456938
56,153,2019-27-10,0.736533034462389
57,155,2020-19-09,0.6905304268079051
58,156,2020-20-09,0.7330059957764044
59,157,2020-06-09,0.7842982720742052
60,160,2020-10-10,0.7996627709097639
61,162,2020-27-10,0.805844636620635
