src_id,station_name,station_file_name,historic_county,station_latitude,station_longitude,station_elevation,first_year,last_year
150,ABOYNE NO 2,aboyne-no-2,aberdeenshire,57.076,-2.841,140,1990,2019
148,BALMORAL,balmoral,aberdeenshire,57.037,-3.22,283,2013,2019
147,BRAEMAR,braemar,aberdeenshire,57.006,-3.398,339,1996,1996
55827,BRAEMAR NO 2,braemar-no-2,aberdeenshire,57.011,-3.397,327,2005,2019
144,"CORGARFF, CASTLE LODGE",corgarff-castle-lodge,aberdeenshire,57.165,-3.23,400,1999,2002
160,CRAIBSTONE,craibstone,aberdeenshire,57.187,-2.215,102,2010,2019
161,DYCE,dyce,aberdeenshire,57.205,-2.205,65,1957,2019
166,FRASERBURGH,fraserburgh,aberdeenshire,57.697,-2.003,18,1967,1988
159,FYVIE CASTLE,fyvie-castle,aberdeenshire,57.443,-2.39,55,1999,2019
16581,ROSEHEARTY,rosehearty,aberdeenshire,57.698,-2.123,4,1995,2012
181,MYLNEFIELD,mylnefield,angus,56.457,-3.073,31,1980,2005
192,USAN,usan,angus,56.681,-2.452,47,1965,1979
1450,ALDERGROVE,aldergrove,antrim,54.664,-6.225,63,1981,2019
1452,ALTNAHINCH FILTERS,altnahinch-filters,antrim,55.048,-6.255,213,1981,2019
1467,BALLYPATRICK FOREST,ballypatrick-forest,antrim,55.181,-6.154,156,1991,2019
56937,GIANTS CAUSEWAY,giants-causeway,antrim,55.234,-6.512,80,2011,2019
19192,KILLYLANE,killylane,antrim,54.817,-6.005,250,2011,2019
1448,PORTGLENONE,portglenone,antrim,54.865,-6.458,64,1994,2019
17292,PORTRUSH,portrush,antrim,55.208,-6.656,8,1996,2001
926,"BENMORE, YOUNGER BOTANIC GARDEN",benmore-younger-botanic-garden,argyll-in-strathclyde-region,56.028,-4.985,12,1997,2005
918,DUNSTAFFNAGE,dunstaffnage,argyll-in-strathclyde-region,56.45,-5.44,3,1980,2019
23417,ISLAY: PORT ELLEN,islay-port-ellen,argyll-in-strathclyde-region,55.681,-6.25,17,1998,2019
908,MACHRIHANISH,machrihanish,argyll-in-strathclyde-region,55.441,-5.697,10,1965,2019
896,ORSAY,orsay,argyll-in-strathclyde-region,55.674,-6.511,23,1992,1998
897,RHUVAAL,rhuvaal,argyll-in-strathclyde-region,55.936,-6.125,20,1957,1982
18974,TIREE,tiree,argyll-in-strathclyde-region,56.5,-6.881,9,1930,2019
1530,ARMAGH,armagh,armagh,54.352,-6.65,62,2018,2019
1534,GLENANNE NO 2,glenanne-no-2,armagh,54.237,-6.504,161,1992,2019
1312,BATH,bath,avon,51.386,-2.355,20,1921,1925
675,BRISTOL WEATHER CENTRE,bristol-weather-centre,avon,51.453,-2.6,42,1982,2001
676,FILTON,filton,avon,51.522,-2.577,59,1957,2018
1005,AUCHINCRUIVE,auchincruive,ayrshire,55.477,-4.565,48,2005,2019
996,HUNTERSTON NO 3,hunterston-no-3,ayrshire,55.723,-4.893,8,1997,2005
1006,PRESTWICK NO 2,prestwick-no-2,ayrshire,55.501,-4.584,16,1962,1993
1007,"PRESTWICK, GANNET",prestwick-gannet,ayrshire,55.515,-4.585,27,1994,2019
1013,SAUGHALL,saughall,ayrshire,55.601,-4.226,221,1995,2014
140,GLENLIVET,glenlivet,banffshire,57.354,-3.345,213,1964,2008
141,KEITH,keith,banffshire,57.553,-2.949,106,1980,1987
461,BEDFORD,bedford,bedfordshire,52.227,-0.465,85,1980,2019
465,CARDINGTON,cardington,bedfordshire,52.104,-0.423,29,1957,1980
459,DUNSTABLE,dunstable,bedfordshire,51.886,-0.54,157,1957,1960
458,WOBURN,woburn,bedfordshire,52.014,-0.596,89,2000,2019
838,"BRACKNELL, BEAUFORT PARK",bracknell-beaufort-park,berkshire,51.39,-0.786,74,1980,2003
830,"READING UNIVERSITY, WHITEKNIGHTS",reading-university-whiteknights,berkshire,51.441,-0.938,66,2012,2019
19159,UPPER LAMBOURN,upper-lambourn,berkshire,51.52,-1.549,142,2012,2017
268,CHARTERHALL,charterhall,berwickshire,55.709,-2.385,112,1990,2019
620,CHENIES NO 2,chenies-no-2,buckinghamshire,51.69,-0.534,139,1992,1998
17176,"HIGH WYCOMBE, HQAIR",high-wycombe-hqair,buckinghamshire,51.682,-0.807,204,1995,2019
57093,STOWE,stowe,buckinghamshire,52.042,-1.013,145,2012,2019
940,GT CUMBRAE: MILLPORT,gt-cumbrae-millport,buteshire,55.749,-4.908,5,2010,2019
31,LYBSTER,lybster,caithness,58.311,-3.285,85,1994,2004
32,WICK AIRPORT,wick-airport,caithness,58.454,-3.09,36,1930,2019
455,"CAMBRIDGE, NIAB",cambridge-niab,cambridgeshire,52.245,0.1,26,2009,2019
456,MONKS WOOD,monks-wood,cambridgeshire,52.402,-0.237,41,2000,2019
583,WITTERING,wittering,cambridgeshire,52.612,-0.468,74,1957,2019
457,WYTON,wyton,cambridgeshire,52.354,-0.116,40,1957,1995
1132,"NANTWICH, REASEHEATH HALL",nantwich-reaseheath-hall,cheshire,53.086,-2.526,40,2011,2019
57113,ROSTHERNE,rostherne,cheshire,53.36,-2.382,35,2012,2013
57199,ROSTHERNE NO 2,rostherne-no-2,cheshire,53.36,-2.382,35,2012,2019
55511,WOODFORD,woodford,cheshire,53.339,-2.155,88,2003,2012
17344,LOFTUS,loftus,cleveland,54.563,-0.864,158,1996,2019
16831,"COLWYN BAY, COUNCIL OFFICES",colwyn-bay-council-offices,clwyd,53.295,-3.73,25,1915,1925
1183,CYNWYD,cynwyd,clwyd,52.951,-3.407,227,1994,2003
1144,HAWARDEN AIRPORT,hawarden-airport,clwyd,53.175,-2.986,11,1992,2019
1142,MOEL-Y-CRIO,moel-y-crio,clwyd,53.22,-3.209,263,1995,2005
1139,RHYL,rhyl,clwyd,53.314,-3.501,9,1915,1926
1137,RHYL NO 2,rhyl-no-2,clwyd,53.259,-3.509,77,1992,2019
1417,BASTREET,bastreet,cornwall,50.562,-4.481,233,1996,2000
1418,BUDE,bude,cornwall,50.829,-4.546,15,2011,2019
1395,CAMBORNE,camborne,cornwall,50.218,-5.328,87,1978,2019
1415,"CARDINHAM, BODMIN",cardinham-bodmin,cornwall,50.502,-4.667,200,1991,2019
1393,CULDROSE,culdrose,cornwall,50.084,-5.257,76,1977,2019
1388,GWENNAP HEAD,gwennap-head,cornwall,50.037,-5.681,66,1971,1992
1402,NEWQUAY,newquay,cornwall,50.412,-5.081,53,1920,1925
1400,PENDENNIS POINT,pendennis-point,cornwall,50.145,-5.045,42,2003,2003
1389,"PENZANCE, PENLEE GARDENS",penzance-penlee-gardens,cornwall,50.118,-5.543,19,1915,1925
1405,ST MAWGAN,st-mawgan,cornwall,50.439,-4.998,103,1957,2008
1061,ASPATRIA,aspatria,cumbria,54.768,-3.316,62,1979,2004
1067,BLENCATHRA,blencathra,cumbria,54.62,-3.08,250,2010,2019
19203,BRIDGEFOOT,bridgefoot,cumbria,54.649,-3.459,49,2010,2019
1070,CARLISLE,carlisle,cumbria,54.934,-2.964,28,1961,2019
1066,DRUMBURGH,drumburgh,cumbria,54.932,-3.159,7,1995,2003
1054,ESKMEALS,eskmeals,cumbria,54.325,-3.408,8,1994,2001
1084,GREAT DUN FELL,great-dun-fell,cumbria,54.684,-2.45,847,1997,1997
1060,KESWICK,keswick,cumbria,54.614,-3.157,81,1992,2019
