"year","n","missing","perc_missing"
1995,8760,1003,11.4497716894977
1996,8784,229,2.60701275045537
1997,8760,247,2.81963470319635
1998,8760,548,6.25570776255708
1999,8760,498,5.68493150684932
2000,8784,182,2.07194899817851
2001,8760,856,9.7716894977169
2002,8760,1625,18.5502283105023
2003,8760,10,0.114155251141553
2004,8784,8,0.0910746812386157
2005,8760,34,0.388127853881279
2006,8760,279,3.18493150684932
2007,8760,230,2.62557077625571
2008,8784,108,1.22950819672131
2009,8760,30,0.342465753424658
2010,8760,265,3.02511415525114
2011,8760,157,1.79223744292237
2012,8784,396,4.50819672131148
2013,8760,151,1.72374429223744
2014,8760,173,1.97488584474886
2015,8760,132,1.50684931506849
2016,8784,5,0.0569216757741348
2017,8760,32,0.365296803652968
2018,8760,219,2.5
2019,8760,27,0.308219178082192
