"year","n","missing","perc_missing"
1995,8760,13,0.148401826484018
1996,8784,17,0.193533697632058
1997,8760,11,0.125570776255708
1998,8760,1,0.0114155251141553
1999,8760,1,0.0114155251141553
2000,8784,1,0.011384335154827
2001,8760,1,0.0114155251141553
2002,8760,2,0.0228310502283105
2003,8760,47,0.536529680365297
2004,8784,130,1.4799635701275
2005,8760,106,1.21004566210046
2006,8760,94,1.07305936073059
2007,8760,67,0.764840182648402
2008,8784,124,1.41165755919854
2009,8760,143,1.6324200913242
2010,8760,159,1.81506849315068
2011,8760,2,0.0228310502283105
2012,8784,50,0.569216757741348
2013,8760,132,1.50684931506849
2014,8760,24,0.273972602739726
2015,8760,139,1.58675799086758
2016,8784,47,0.535063752276867
2017,8760,17,0.194063926940639
2018,8760,55,0.627853881278539
2019,8760,4,0.045662100456621
