"year","n","missing","perc_missing"
1995,8760,393,4.48630136986301
1996,8784,600,6.83060109289617
1997,8760,266,3.0365296803653
1998,8760,291,3.32191780821918
1999,8760,136,1.55251141552511
2000,8784,154,1.75318761384335
2001,8760,13,0.148401826484018
2002,8760,233,2.65981735159817
2003,8760,63,0.719178082191781
2004,8784,275,3.13069216757741
2005,8760,265,3.02511415525114
2006,8760,248,2.8310502283105
2007,8760,116,1.32420091324201
2008,8784,79,0.89936247723133
2009,8760,1074,12.2602739726027
2010,8760,1285,14.6689497716895
2011,8760,251,2.86529680365297
2012,8784,294,3.34699453551913
2013,8760,171,1.95205479452055
2014,8760,60,0.684931506849315
2015,8760,302,3.44748858447489
2016,8784,937,10.6671220400729
2017,8760,324,3.6986301369863
2018,8760,277,3.162100456621
2019,8760,169,1.92922374429224
