"year","n","missing","perc_missing"
1995,8760,1631,18.6187214611872
1996,8784,1048,11.9307832422587
1997,8760,647,7.38584474885845
1998,8760,445,5.07990867579909
1999,8760,1185,13.527397260274
2000,8784,248,2.82331511839709
2001,8760,15,0.171232876712329
2002,8760,20,0.228310502283105
2003,8760,898,10.2511415525114
2004,8784,325,3.69990892531876
2005,8760,52,0.593607305936073
2006,8760,279,3.18493150684932
2007,8760,24,0.273972602739726
2008,8784,123,1.40027322404372
2009,8760,525,5.99315068493151
2010,8760,1229,14.0296803652968
2011,8760,84,0.958904109589041
2012,8784,121,1.37750455373406
2013,8760,77,0.878995433789954
2014,8760,750,8.56164383561644
2015,8760,206,2.35159817351598
2016,8784,667,7.59335154826958
2017,8760,518,5.91324200913242
2018,8760,353,4.0296803652968
2019,8760,427,4.87442922374429
