"year","n","missing","perc_missing"
1998,8760,245,2.79680365296804
1999,8760,288,3.28767123287671
2000,8784,129,1.46857923497268
2001,8760,142,1.62100456621005
2002,8760,13,0.148401826484018
2003,8760,46,0.525114155251142
2004,8784,168,1.91256830601093
2005,8760,1052,12.0091324200913
2006,8760,117,1.33561643835616
2007,8760,50,0.570776255707763
2008,8784,137,1.55965391621129
2009,8760,1510,17.2374429223744
2010,8760,735,8.39041095890411
2011,8760,193,2.20319634703196
2012,8784,339,3.85928961748634
2013,8760,411,4.69178082191781
2014,8760,13,0.148401826484018
2015,8760,169,1.92922374429224
2016,8784,52,0.591985428051002
2017,8760,395,4.50913242009132
2018,8760,148,1.68949771689498
2019,8760,13,0.148401826484018
