"year","n","missing","perc_missing"
1995,8760,1008,11.5068493150685
1996,8784,470,5.35063752276867
1997,8760,126,1.43835616438356
1998,8760,481,5.49086757990868
1999,8760,152,1.7351598173516
2000,8784,372,4.23497267759563
2001,8760,54,0.616438356164384
2002,8760,19,0.21689497716895
2003,8760,2,0.0228310502283105
2004,8784,187,2.12887067395264
2005,8760,70,0.799086757990868
2006,8760,349,3.98401826484018
2007,8760,5,0.0570776255707763
2008,8784,78,0.887978142076503
2009,8760,194,2.21461187214612
2010,8760,175,1.99771689497717
2011,8760,1,0.0114155251141553
2012,8784,73,0.831056466302368
2013,8760,6,0.0684931506849315
2014,8760,245,2.79680365296804
2015,8760,62,0.707762557077626
2016,8784,103,1.17258652094718
2017,8760,128,1.46118721461187
2018,8760,996,11.3698630136986
2019,8760,15,0.171232876712329
