"year","n","missing","perc_missing"
2000,8784,364,4.14389799635701
2001,8760,421,4.80593607305936
2002,8760,186,2.12328767123288
2003,8760,72,0.821917808219178
2004,8784,262,2.98269581056466
2005,8760,609,6.95205479452055
2006,8760,107,1.22146118721461
2007,8760,51,0.582191780821918
2008,8784,272,3.09653916211293
2009,8760,428,4.88584474885845
2010,8760,1334,15.2283105022831
2011,8760,540,6.16438356164384
2012,8784,337,3.83652094717668
2013,8760,265,3.02511415525114
2014,8760,315,3.5958904109589
2015,8760,635,7.24885844748858
2016,8784,605,6.88752276867031
2017,8760,999,11.4041095890411
2018,8760,444,5.06849315068493
2019,8760,293,3.34474885844749
