"year","n","missing","perc_missing"
1998,8760,25,0.285388127853881
1999,8760,2,0.0228310502283105
2000,8784,1159,13.1944444444444
2001,8760,1100,12.5570776255708
2002,8760,3754,42.8538812785388
2003,8760,307,3.50456621004566
2004,8784,5300,60.3369763205829
2005,8760,8760,100
2006,8760,8760,100
2007,8760,8760,100
2008,8784,8784,100
2009,8760,8760,100
2010,8760,8760,100
2011,8760,2914,33.2648401826484
2012,8784,816,9.2896174863388
2013,8760,386,4.40639269406393
2014,8760,124,1.41552511415525
2015,8760,152,1.7351598173516
2016,8784,26,0.295992714025501
2017,8760,220,2.51141552511416
2018,8760,292,3.33333333333333
2019,8760,196,2.23744292237443
