"year","n","missing","perc_missing"
1995,8760,920,10.5022831050228
1996,8784,1002,11.4071038251366
1997,8760,833,9.50913242009132
1998,8760,476,5.4337899543379
1999,8760,914,10.4337899543379
2000,8784,533,6.06785063752277
2001,8760,815,9.30365296803653
2002,8760,161,1.837899543379
2003,8760,5,0.0570776255707763
2004,8784,292,3.32422586520947
2005,8760,497,5.67351598173516
2006,8760,256,2.92237442922374
2007,8760,13,0.148401826484018
2008,8784,232,2.64116575591985
2009,8760,277,3.162100456621
2010,8760,432,4.93150684931507
2011,8760,212,2.42009132420091
2012,8784,456,5.19125683060109
2013,8760,1492,17.0319634703196
2014,8760,841,9.60045662100457
2015,8760,50,0.570776255707763
2016,8784,317,3.60883424408015
2017,8760,951,10.8561643835616
2018,8760,347,3.96118721461187
2019,8760,5,0.0570776255707763
