"year","n","missing","perc_missing"
1995,8760,401,4.57762557077626
1996,8784,426,4.84972677595628
1997,8760,256,2.92237442922374
1998,8760,387,4.41780821917808
1999,8760,351,4.00684931506849
2000,8784,378,4.30327868852459
2001,8760,176,2.00913242009132
2002,8760,230,2.62557077625571
2003,8760,211,2.40867579908676
2004,8784,339,3.85928961748634
2005,8760,169,1.92922374429224
2006,8760,81,0.924657534246575
2007,8760,67,0.764840182648402
2008,8784,76,0.865209471766849
2009,8760,567,6.47260273972603
2010,8760,491,5.60502283105023
2011,8760,1,0.0114155251141553
2012,8784,277,3.15346083788707
2013,8760,457,5.21689497716895
2014,8760,204,2.32876712328767
2015,8760,154,1.75799086757991
2016,8784,431,4.90664845173042
2017,8760,469,5.35388127853881
2018,8760,322,3.67579908675799
2019,8760,500,5.70776255707763
