"year","n","missing","perc_missing"
1995,8760,120,1.36986301369863
1996,8784,289,3.29007285974499
1997,8760,250,2.85388127853881
1998,8760,258,2.94520547945205
1999,8760,48,0.547945205479452
2000,8784,83,0.944899817850637
2001,8760,73,0.833333333333333
2002,8760,31,0.353881278538813
2003,8760,22,0.251141552511416
2004,8784,45,0.512295081967213
2005,8760,31,0.353881278538813
2006,8760,91,1.03881278538813
2007,8760,133,1.51826484018265
2008,8784,212,2.41347905282332
2009,8760,486,5.54794520547945
2010,8760,672,7.67123287671233
2011,8760,49,0.559360730593607
2012,8784,195,2.21994535519126
2013,8760,229,2.61415525114155
2014,8760,22,0.251141552511416
2015,8760,323,3.68721461187215
2016,8784,4,0.0455373406193078
2017,8760,74,0.844748858447489
2018,8760,124,1.41552511415525
2019,8760,146,1.66666666666667
