"year","n","missing","perc_missing"
1995,8760,1257,14.3493150684932
1996,8784,759,8.64071038251366
1997,8760,702,8.01369863013699
1998,8760,459,5.23972602739726
1999,8760,267,3.04794520547945
2000,8784,908,10.3369763205829
2001,8760,806,9.20091324200913
2002,8760,363,4.14383561643836
2003,8760,351,4.00684931506849
2004,8784,710,8.08287795992714
2005,8760,520,5.93607305936073
2006,8760,177,2.02054794520548
2007,8760,707,8.07077625570776
2008,8784,444,5.05464480874317
2009,8760,865,9.87442922374429
2010,8760,867,9.8972602739726
2011,8760,181,2.0662100456621
2012,8784,97,1.10428051001821
2013,8760,311,3.55022831050228
2014,8760,135,1.54109589041096
2015,8760,255,2.91095890410959
2016,8784,323,3.67714025500911
2017,8760,52,0.593607305936073
2018,8760,367,4.18949771689498
2019,8760,323,3.68721461187215
