"year","n","missing","perc_missing"
1998,8760,167,1.90639269406393
1999,8760,178,2.03196347031963
2000,8784,313,3.56329690346084
2001,8760,193,2.20319634703196
2002,8760,3903,44.5547945205479
2003,8760,251,2.86529680365297
2004,8784,5247,59.7336065573771
2005,8760,8760,100
2006,8760,8760,100
2007,8760,8760,100
2008,8784,8784,100
2009,8760,8760,100
2010,8760,1595,18.2077625570776
2011,8760,1,0.0114155251141553
2012,8784,218,2.48178506375228
2013,8760,6,0.0684931506849315
2014,8760,25,0.285388127853881
2015,8760,137,1.56392694063927
2016,8784,291,3.31284153005464
2017,8760,242,2.76255707762557
2018,8760,53,0.605022831050228
2019,8760,8,0.091324200913242
