"year","n","missing","perc_missing"
1995,8760,43,0.490867579908676
1996,8784,44,0.500910746812386
1997,8760,14,0.159817351598174
1998,8760,2,0.0228310502283105
1999,8760,1,0.0114155251141553
2000,8784,2,0.0227686703096539
2001,8760,1,0.0114155251141553
2002,8760,84,0.958904109589041
2003,8760,29,0.331050228310502
2004,8784,60,0.683060109289617
2005,8760,64,0.730593607305936
2006,8760,151,1.72374429223744
2007,8760,126,1.43835616438356
2008,8784,6,0.0683060109289618
2009,8760,72,0.821917808219178
2010,8760,106,1.21004566210046
2011,8760,2,0.0228310502283105
2012,8784,42,0.478142076502732
2013,8760,160,1.82648401826484
2014,8760,27,0.308219178082192
2015,8760,18,0.205479452054795
2016,8784,53,0.603369763205829
2017,8760,1,0.0114155251141553
2018,8760,132,1.50684931506849
2019,8760,98,1.11872146118721
