"year","n","missing","perc_missing"
1995,8760,61,0.69634703196347
1996,8784,58,0.660291438979964
1997,8760,42,0.479452054794521
1998,8760,1,0.0114155251141553
1999,8760,9,0.102739726027397
2000,8784,28,0.318761384335155
2001,8760,33,0.376712328767123
2002,8760,28,0.319634703196347
2003,8760,138,1.57534246575342
2004,8784,157,1.78734061930783
2005,8760,105,1.1986301369863
2006,8760,285,3.25342465753425
2007,8760,121,1.38127853881279
2008,8784,349,3.97313296903461
2009,8760,195,2.22602739726027
2010,8760,1076,12.283105022831
2011,8760,1,0.0114155251141553
2012,8784,2,0.0227686703096539
2013,8760,145,1.65525114155251
2014,8760,15,0.171232876712329
2015,8760,10,0.114155251141553
2016,8784,31,0.352914389799636
2017,8760,99,1.13013698630137
2018,8760,216,2.46575342465753
2019,8760,2381,27.1803652968037
