"year","n","missing","perc_missing"
2002,8760,1125,12.8424657534247
2003,8760,3246,37.0547945205479
2004,8784,185,2.10610200364299
2005,8760,1255,14.3264840182648
2006,8760,5100,58.2191780821918
2007,8760,5272,60.1826484018265
2008,8784,225,2.56147540983607
2009,8760,357,4.07534246575342
2010,8760,806,9.20091324200913
2011,8760,134,1.5296803652968
2012,8784,218,2.48178506375228
2013,8760,147,1.67808219178082
2014,8760,12,0.136986301369863
2015,8760,53,0.605022831050228
2016,8784,24,0.273224043715847
2017,8760,76,0.867579908675799
2018,8760,193,2.20319634703196
2019,8760,4,0.045662100456621
