"year","n","missing","perc_missing"
1995,8760,117,1.33561643835616
1996,8784,23,0.26183970856102
1997,8760,3,0.0342465753424658
1998,8760,1,0.0114155251141553
1999,8760,5,0.0570776255707763
2000,8784,8,0.0910746812386157
2001,8760,1,0.0114155251141553
2002,8760,1,0.0114155251141553
2003,8760,16,0.182648401826484
2004,8784,191,2.17440801457195
2005,8760,156,1.78082191780822
2006,8760,14,0.159817351598174
2007,8760,55,0.627853881278539
2008,8784,40,0.455373406193078
2009,8760,178,2.03196347031963
2010,8760,258,2.94520547945205
2011,8760,117,1.33561643835616
2012,8784,220,2.50455373406193
2013,8760,494,5.63926940639269
2014,8760,13,0.148401826484018
2015,8760,14,0.159817351598174
2016,8784,141,1.6051912568306
2017,8760,103,1.17579908675799
2018,8760,157,1.79223744292237
2019,8760,104,1.18721461187215
