"year","n","missing","perc_missing"
1995,8673,599,6.90649141012337
1996,8784,252,2.86885245901639
1997,8760,412,4.70319634703196
1998,8760,305,3.48173515981735
1999,8760,144,1.64383561643836
2000,8784,864,9.83606557377049
2001,8760,2698,30.7990867579909
2002,8760,317,3.61872146118721
2003,8760,118,1.34703196347032
2004,8784,220,2.50455373406193
2005,8760,249,2.84246575342466
2006,8760,209,2.38584474885845
2007,8760,400,4.5662100456621
2008,8784,38,0.432604735883424
2009,8760,665,7.59132420091324
2010,8760,1345,15.3538812785388
2011,8760,217,2.47716894977169
2012,8784,51,0.580601092896175
2013,8760,205,2.34018264840183
2014,8760,566,6.46118721461187
2015,8760,430,4.90867579908676
2016,8784,139,1.58242258652095
2017,8760,149,1.70091324200913
2018,8760,536,6.11872146118721
2019,8760,332,3.78995433789954
