"year","n","missing","perc_missing"
1995,8760,1074,12.2602739726027
1996,8784,169,1.92395264116576
1997,8760,392,4.47488584474886
1998,8760,870,9.93150684931507
1999,8760,969,11.0616438356164
2000,8784,232,2.64116575591985
2001,8760,103,1.17579908675799
2002,8760,938,10.7077625570776
2003,8760,188,2.14611872146119
2004,8784,137,1.55965391621129
2005,8760,15,0.171232876712329
2006,8760,90,1.02739726027397
2007,8760,937,10.6963470319635
2008,8784,482,5.48724954462659
2009,8760,32,0.365296803652968
2010,8760,169,1.92922374429224
2011,8760,1,0.0114155251141553
2012,8784,2,0.0227686703096539
2013,8760,74,0.844748858447489
2014,8760,52,0.593607305936073
2015,8760,294,3.35616438356164
2016,8784,17,0.193533697632058
2017,8760,49,0.559360730593607
2018,8760,467,5.3310502283105
2019,8760,103,1.17579908675799
