"year","n","missing","perc_missing"
2000,8783,121,1.37766139132415
2001,8760,14,0.159817351598174
2002,8760,38,0.4337899543379
2003,8760,270,3.08219178082192
2004,8784,18,0.204918032786885
2005,8760,737,8.41324200913242
2006,8760,172,1.9634703196347
2007,8760,51,0.582191780821918
2008,8784,982,11.1794171220401
2009,8760,580,6.62100456621005
2010,8760,783,8.93835616438356
2011,8760,228,2.6027397260274
2012,8784,125,1.42304189435337
2013,8760,242,2.76255707762557
2014,8760,928,10.5936073059361
2015,8760,923,10.5365296803653
2016,8784,401,4.56511839708561
2017,8760,428,4.88584474885845
2018,8760,674,7.69406392694064
2019,8760,363,4.14383561643836
