"year","n","missing","perc_missing"
1995,8760,236,2.69406392694064
1996,8784,327,3.72267759562842
1997,8760,197,2.24885844748858
1998,8760,426,4.86301369863014
1999,8760,279,3.18493150684932
2000,8784,186,2.11748633879781
2001,8760,342,3.9041095890411
2002,8760,358,4.08675799086758
2003,8760,66,0.753424657534247
2004,8784,175,1.99225865209472
2005,8760,308,3.51598173515982
2006,8760,461,5.26255707762557
2007,8760,364,4.15525114155251
2008,8784,346,3.93897996357013
2009,8760,362,4.1324200913242
2010,8760,613,6.99771689497717
2011,8760,241,2.75114155251142
2012,8784,171,1.94672131147541
2013,8760,223,2.54566210045662
2014,8760,81,0.924657534246575
2015,8760,103,1.17579908675799
2016,8784,246,2.80054644808743
2017,8760,916,10.4566210045662
2018,8760,388,4.42922374429224
2019,8760,58,0.662100456621005
