"year","n","missing","perc_missing"
1995,8760,1614,18.4246575342466
1996,8784,329,3.74544626593807
1997,8760,100,1.14155251141553
1998,8760,146,1.66666666666667
1999,8760,248,2.8310502283105
2000,8784,123,1.40027322404372
2001,8760,108,1.23287671232877
2002,8760,120,1.36986301369863
2003,8760,40,0.45662100456621
2004,8784,725,8.25364298724955
2005,8760,108,1.23287671232877
2006,8760,658,7.51141552511416
2007,8760,65,0.742009132420091
2008,8784,47,0.535063752276867
2009,8760,443,5.05707762557078
2010,8760,347,3.96118721461187
2011,8760,195,2.22602739726027
2012,8784,301,3.42668488160291
2013,8760,361,4.12100456621005
2014,8760,490,5.59360730593607
2015,8760,90,1.02739726027397
2016,8784,30,0.341530054644809
2017,8760,27,0.308219178082192
2018,8760,145,1.65525114155251
2019,8760,5,0.0570776255707763
