"year","n","missing","perc_missing"
1995,8760,755,8.61872146118722
1996,8784,840,9.56284153005464
1997,8760,488,5.57077625570776
1998,8760,697,7.95662100456621
1999,8760,288,3.28767123287671
2000,8784,163,1.85564663023679
2001,8760,369,4.21232876712329
2002,8760,10,0.114155251141553
2003,8760,128,1.46118721461187
2004,8784,266,3.02823315118397
2005,8760,2,0.0228310502283105
2006,8760,3,0.0342465753424658
2007,8760,74,0.844748858447489
2008,8784,1,0.011384335154827
2009,8760,158,1.80365296803653
2010,8760,122,1.39269406392694
2011,8760,73,0.833333333333333
2012,8784,73,0.831056466302368
2013,8760,697,7.95662100456621
2014,8760,38,0.4337899543379
2015,8760,62,0.707762557077626
2016,8784,117,1.33196721311475
2017,8760,200,2.28310502283105
2018,8760,161,1.837899543379
2019,8760,11,0.125570776255708
