"year","n","missing","perc_missing"
1998,8760,407,4.64611872146119
1999,8760,199,2.2716894977169
2000,8784,213,2.42486338797814
2001,8760,92,1.05022831050228
2002,8760,155,1.76940639269406
2003,8760,20,0.228310502283105
2004,8784,33,0.37568306010929
2005,8760,147,1.67808219178082
2006,8760,27,0.308219178082192
2007,8760,76,0.867579908675799
2008,8784,228,2.59562841530055
2009,8760,58,0.662100456621005
2010,8760,51,0.582191780821918
2011,8760,1,0.0114155251141553
2012,8784,100,1.1384335154827
2013,8760,535,6.10730593607306
2014,8760,64,0.730593607305936
2015,8760,20,0.228310502283105
2016,8784,83,0.944899817850637
2017,8760,404,4.61187214611872
2018,8760,125,1.42694063926941
2019,8760,35,0.399543378995434
