"year","n","missing","perc_missing"
1995,8760,248,2.8310502283105
1996,8784,175,1.99225865209472
1997,8760,265,3.02511415525114
1998,8760,178,2.03196347031963
1999,8760,41,0.468036529680365
2000,8784,4,0.0455373406193078
2001,8760,103,1.17579908675799
2002,8760,4,0.045662100456621
2003,8760,121,1.38127853881279
2004,8784,142,1.61657559198543
2005,8760,271,3.09360730593607
2006,8760,15,0.171232876712329
2007,8760,53,0.605022831050228
2008,8784,50,0.569216757741348
2009,8760,93,1.06164383561644
2010,8760,271,3.09360730593607
2011,8760,55,0.627853881278539
2012,8784,80,0.910746812386157
2013,8760,184,2.10045662100457
2014,8760,144,1.64383561643836
2015,8760,58,0.662100456621005
2016,8784,42,0.478142076502732
2017,8760,53,0.605022831050228
2018,8760,191,2.18036529680365
2019,8760,53,0.605022831050228
