"year","n","missing","perc_missing"
2002,8760,218,2.48858447488584
2003,8760,219,2.5
2004,8784,157,1.78734061930783
2005,8760,31,0.353881278538813
2006,8760,95,1.08447488584475
2007,8760,270,3.08219178082192
2008,8784,27,0.307377049180328
2009,8760,498,5.68493150684932
2010,8760,70,0.799086757990868
2011,8760,1,0.0114155251141553
2012,8784,101,1.14981785063752
2013,8760,482,5.50228310502283
2014,8760,36,0.410958904109589
2015,8760,323,3.68721461187215
2016,8784,5,0.0569216757741348
2017,8760,123,1.4041095890411
2018,8760,173,1.97488584474886
2019,8760,320,3.65296803652968
