"year","n","missing","perc_missing"
1995,8760,57,0.650684931506849
1996,8784,38,0.432604735883424
1997,8760,10,0.114155251141553
1998,8760,10,0.114155251141553
1999,8760,2,0.0228310502283105
2000,8784,55,0.626138433515483
2001,8760,14,0.159817351598174
2002,8760,65,0.742009132420091
2003,8760,20,0.228310502283105
2004,8784,125,1.42304189435337
2005,8760,194,2.21461187214612
2006,8760,86,0.981735159817352
2007,8760,82,0.936073059360731
2008,8784,291,3.31284153005464
2009,8760,164,1.87214611872146
2010,8760,200,2.28310502283105
2011,8760,158,1.80365296803653
2012,8784,108,1.22950819672131
2013,8760,330,3.76712328767123
2014,8760,186,2.12328767123288
2015,8760,115,1.31278538812785
2016,8784,34,0.387067395264117
2017,8760,126,1.43835616438356
2018,8760,591,6.74657534246575
2019,8760,52,0.593607305936073
