"year","n","missing","perc_missing"
1998,8760,613,6.99771689497717
1999,8760,773,8.82420091324201
2000,8784,824,9.38069216757741
2001,8760,1550,17.6940639269406
2002,8760,25,0.285388127853881
2003,8760,4,0.045662100456621
2004,8784,85,0.967668488160291
2005,8760,6,0.0684931506849315
2006,8760,127,1.44977168949772
2007,8760,349,3.98401826484018
2008,8784,149,1.69626593806922
2009,8760,82,0.936073059360731
2010,8760,97,1.10730593607306
2011,8760,229,2.61415525114155
2012,8784,121,1.37750455373406
2013,8760,26,0.296803652968037
2014,8760,173,1.97488584474886
2015,8760,96,1.0958904109589
2016,8784,21,0.239071038251366
2017,8760,35,0.399543378995434
2018,8760,172,1.9634703196347
2019,8760,10,0.114155251141553
