"year","n","missing","perc_missing"
1995,8760,65,0.742009132420091
1996,8784,16,0.182149362477231
1997,8760,54,0.616438356164384
1998,8760,24,0.273972602739726
1999,8760,9,0.102739726027397
2000,8784,56,0.63752276867031
2001,8760,19,0.21689497716895
2002,8760,418,4.77168949771689
2003,8760,75,0.856164383561644
2004,8784,64,0.728597449908925
2005,8760,208,2.37442922374429
2006,8760,42,0.479452054794521
2007,8760,377,4.30365296803653
2008,8784,63,0.717213114754098
2009,8760,484,5.52511415525114
2010,8760,659,7.52283105022831
2011,8760,316,3.60730593607306
2012,8784,388,4.41712204007286
2013,8760,110,1.25570776255708
2014,8760,335,3.82420091324201
2015,8760,253,2.88812785388128
2016,8784,28,0.318761384335155
2017,8760,145,1.65525114155251
2018,8760,96,1.0958904109589
2019,8760,97,1.10730593607306
