"year","n","missing","perc_missing"
2001,8759,13,0.148418769265898
2002,8760,39,0.445205479452055
2003,8760,1725,19.6917808219178
2004,8784,70,0.796903460837887
2005,8760,266,3.0365296803653
2006,8760,8,0.091324200913242
2007,8760,30,0.342465753424658
2008,8784,14,0.159380692167577
2009,8760,185,2.11187214611872
2010,8760,1097,12.5228310502283
2011,8760,11,0.125570776255708
2012,8784,73,0.831056466302368
2013,8760,290,3.31050228310502
2014,8760,193,2.20319634703196
2015,8760,842,9.61187214611872
2016,8784,460,5.2367941712204
2017,8760,1097,12.5228310502283
2018,8760,1045,11.9292237442922
2019,8760,219,2.5
