"year","n","missing","perc_missing"
1995,8760,1557,17.7739726027397
1996,8784,1706,19.4216757741348
1997,8760,1217,13.8926940639269
1998,8760,1193,13.6187214611872
1999,8760,249,2.84246575342466
2000,8784,155,1.76457194899818
2001,8760,572,6.5296803652968
2002,8760,24,0.273972602739726
2003,8760,102,1.16438356164384
2004,8784,25,0.284608378870674
2005,8760,326,3.72146118721461
2006,8760,301,3.43607305936073
2007,8760,10,0.114155251141553
2008,8784,3344,38.0692167577414
2009,8760,304,3.4703196347032
2010,8760,480,5.47945205479452
2011,8760,145,1.65525114155251
2012,8784,75,0.853825136612022
2013,8760,340,3.88127853881279
2014,8760,203,2.31735159817352
2015,8760,73,0.833333333333333
2016,8784,266,3.02823315118397
2017,8760,320,3.65296803652968
2018,8760,986,11.2557077625571
2019,8760,180,2.05479452054795
