"year","n","missing","perc_missing"
1995,8760,1816,20.7305936073059
1996,8784,916,10.4280510018215
1997,8760,792,9.04109589041096
1998,8760,1560,17.8082191780822
1999,8760,916,10.4566210045662
2000,8784,960,10.9289617486339
2001,8760,304,3.4703196347032
2002,8760,278,3.17351598173516
2003,8760,554,6.32420091324201
2004,8784,1239,14.1051912568306
2005,8760,251,2.86529680365297
2006,8760,140,1.59817351598174
2007,8760,233,2.65981735159817
2008,8784,8,0.0910746812386157
2009,8760,411,4.69178082191781
2010,8760,637,7.27168949771689
2011,8760,1,0.0114155251141553
2012,8784,1,0.011384335154827
2013,8760,817,9.32648401826484
2014,8760,171,1.95205479452055
2015,8760,29,0.331050228310502
2016,8784,797,9.07331511839709
2017,8760,33,0.376712328767123
2018,8760,398,4.54337899543379
2019,8760,609,6.95205479452055
