"year","n","missing","perc_missing"
1995,8760,84,0.958904109589041
1996,8784,239,2.72085610200364
1997,8760,262,2.99086757990868
1998,8760,584,6.66666666666667
1999,8760,914,10.4337899543379
2000,8784,558,6.35245901639344
2001,8760,512,5.84474885844749
2002,8760,164,1.87214611872146
2003,8760,8,0.091324200913242
2004,8784,199,2.26548269581056
2005,8760,204,2.32876712328767
2006,8760,201,2.29452054794521
2007,8760,55,0.627853881278539
2008,8784,606,6.89890710382514
2009,8760,232,2.64840182648402
2010,8760,870,9.93150684931507
2011,8760,76,0.867579908675799
2012,8784,73,0.831056466302368
2013,8760,254,2.89954337899543
2014,8760,195,2.22602739726027
2015,8760,64,0.730593607305936
2016,8784,6,0.0683060109289618
2017,8760,56,0.639269406392694
2018,8760,283,3.23059360730594
2019,8760,213,2.43150684931507
