"year","n","missing","perc_missing"
2000,8783,118,1.34350449732438
2001,8760,213,2.43150684931507
2002,8760,180,2.05479452054795
2003,8760,528,6.02739726027397
2004,8784,875,9.96129326047359
2005,8760,544,6.21004566210046
2006,8760,283,3.23059360730594
2007,8760,127,1.44977168949772
2008,8784,1360,15.4826958105647
2009,8760,13,0.148401826484018
2010,8760,124,1.41552511415525
2011,8760,1,0.0114155251141553
2012,8784,74,0.842440801457195
2013,8760,39,0.445205479452055
2014,8760,444,5.06849315068493
2015,8760,121,1.38127853881279
2016,8784,927,10.5532786885246
2017,8760,79,0.901826484018265
2018,8760,291,3.32191780821918
2019,8760,102,1.16438356164384
