"year","n","missing","perc_missing"
2000,8783,121,1.37766139132415
2001,8760,1643,18.7557077625571
2002,8760,39,0.445205479452055
2003,8760,608,6.94063926940639
2004,8784,88,1.00182149362477
2005,8760,740,8.44748858447489
2006,8760,1786,20.3881278538813
2007,8760,372,4.24657534246575
2008,8784,885,10.0751366120219
2009,8760,4,0.045662100456621
2010,8760,602,6.87214611872146
2011,8760,1,0.0114155251141553
2012,8784,50,0.569216757741348
2013,8760,3,0.0342465753424658
2014,8760,191,2.18036529680365
2015,8760,75,0.856164383561644
2016,8784,109,1.24089253187614
2017,8760,254,2.89954337899543
2018,8760,1418,16.1872146118721
2019,8760,97,1.10730593607306
