"year","n","missing","perc_missing"
1998,8760,1773,20.2397260273973
1999,8760,171,1.95205479452055
2000,8784,66,0.751366120218579
2001,8760,272,3.10502283105023
2002,8760,29,0.331050228310502
2003,8760,80,0.91324200913242
2004,8784,180,2.04918032786885
2005,8760,216,2.46575342465753
2006,8760,432,4.93150684931507
2007,8760,14,0.159817351598174
2008,8784,25,0.284608378870674
2009,8760,220,2.51141552511416
2010,8760,1323,15.1027397260274
2011,8760,59,0.67351598173516
2012,8784,146,1.66211293260474
2013,8760,5,0.0570776255707763
2014,8760,80,0.91324200913242
2015,8760,172,1.9634703196347
2016,8784,58,0.660291438979964
2017,8760,229,2.61415525114155
2018,8760,548,6.25570776255708
2019,8760,27,0.308219178082192
