"year","n","missing","perc_missing"
1998,8760,4,0.045662100456621
1999,8760,206,2.35159817351598
2000,8784,128,1.45719489981785
2001,8760,11,0.125570776255708
2002,8760,39,0.445205479452055
2003,8760,101,1.15296803652968
2004,8784,17,0.193533697632058
2005,8760,19,0.21689497716895
2006,8760,634,7.23744292237443
2007,8760,497,5.67351598173516
2008,8784,200,2.27686703096539
2009,8760,147,1.67808219178082
2010,8760,267,3.04794520547945
2011,8760,1,0.0114155251141553
2012,8784,810,9.22131147540984
2013,8760,387,4.41780821917808
2014,8760,158,1.80365296803653
2015,8760,113,1.28995433789954
2016,8784,10,0.11384335154827
2017,8760,102,1.16438356164384
2018,8760,269,3.07077625570776
2019,8760,44,0.502283105022831
