"year","n","missing","perc_missing"
1999,8760,683,7.79680365296804
2000,8784,455,5.17987249544627
2001,8760,158,1.80365296803653
2002,8760,329,3.75570776255708
2003,8760,51,0.582191780821918
2004,8784,154,1.75318761384335
2005,8760,416,4.74885844748858
2006,8760,109,1.24429223744292
2007,8760,61,0.69634703196347
2008,8784,48,0.546448087431694
2009,8760,279,3.18493150684932
2010,8760,415,4.73744292237443
2011,8760,205,2.34018264840183
2012,8784,205,2.33378870673953
2013,8760,25,0.285388127853881
2014,8760,19,0.21689497716895
2015,8760,14,0.159817351598174
2016,8784,84,0.956284153005464
2017,8760,50,0.570776255707763
2018,8760,329,3.75570776255708
2019,8760,53,0.605022831050228
