"year","n","missing","perc_missing"
1995,8760,232,2.64840182648402
1996,8784,319,3.6316029143898
1997,8760,105,1.1986301369863
1998,8760,19,0.21689497716895
1999,8760,79,0.901826484018265
2000,8784,104,1.183970856102
2001,8760,185,2.11187214611872
2002,8760,66,0.753424657534247
2003,8760,84,0.958904109589041
2004,8784,306,3.48360655737705
2005,8760,792,9.04109589041096
2006,8760,106,1.21004566210046
2007,8760,220,2.51141552511416
2008,8784,156,1.77595628415301
2009,8760,376,4.29223744292237
2010,8760,257,2.9337899543379
2011,8760,98,1.11872146118721
2012,8784,219,2.4931693989071
2013,8760,465,5.30821917808219
2014,8760,366,4.17808219178082
2015,8760,703,8.02511415525114
2016,8784,459,5.22540983606557
2017,8760,493,5.62785388127854
2018,8760,1233,14.0753424657534
2019,8760,175,1.99771689497717
