"year","n","missing","perc_missing"
2000,8783,137,1.55983149265627
2001,8760,11,0.125570776255708
2002,8760,111,1.26712328767123
2003,8760,93,1.06164383561644
2004,8784,1612,18.3515482695811
2005,8760,251,2.86529680365297
2006,8760,191,2.18036529680365
2007,8760,26,0.296803652968037
2008,8784,162,1.84426229508197
2009,8760,14,0.159817351598174
2010,8760,1111,12.6826484018265
2011,8760,1223,13.9611872146119
2012,8784,193,2.1971766848816
2013,8760,2,0.0228310502283105
2014,8760,104,1.18721461187215
2015,8760,246,2.80821917808219
2016,8784,1104,12.568306010929
2017,8760,808,9.22374429223744
2018,8760,1121,12.796803652968
2019,8760,195,2.22602739726027
