"year","n","missing","perc_missing"
2000,8784,169,1.92395264116576
2001,8760,275,3.13926940639269
2002,8760,41,0.468036529680365
2003,8760,120,1.36986301369863
2004,8784,192,2.18579234972678
2005,8760,269,3.07077625570776
2006,8760,116,1.32420091324201
2007,8760,2,0.0228310502283105
2008,8784,49,0.557832422586521
2009,8760,254,2.89954337899543
2010,8760,265,3.02511415525114
2011,8760,288,3.28767123287671
2012,8784,97,1.10428051001821
2013,8760,217,2.47716894977169
2014,8760,255,2.91095890410959
2015,8760,265,3.02511415525114
2016,8784,421,4.79280510018215
2017,8760,141,1.60958904109589
2018,8760,398,4.54337899543379
2019,8760,49,0.559360730593607
