"year","n","missing","perc_missing"
1995,8760,464,5.29680365296804
1996,8784,317,3.60883424408015
1997,8760,277,3.162100456621
1998,8760,515,5.87899543378995
1999,8760,782,8.92694063926941
2000,8784,751,8.54963570127505
2001,8760,2382,27.1917808219178
2002,8760,583,6.65525114155251
2003,8760,277,3.162100456621
2004,8784,2324,26.4571948998178
2005,8760,2312,26.3926940639269
2006,8760,1202,13.7214611872146
2007,8760,245,2.79680365296804
2008,8784,4,0.0455373406193078
2009,8760,35,0.399543378995434
2010,8760,548,6.25570776255708
2011,8760,1,0.0114155251141553
2012,8784,1,0.011384335154827
2013,8760,194,2.21461187214612
2014,8760,2012,22.9680365296804
2015,8760,56,0.639269406392694
2016,8784,22,0.250455373406193
2017,8760,620,7.07762557077626
2018,8760,586,6.68949771689498
2019,8760,73,0.833333333333333
