"year","n","missing","perc_missing"
1995,8760,55,0.627853881278539
1996,8784,35,0.398451730418944
1997,8760,35,0.399543378995434
1998,8760,1,0.0114155251141553
1999,8760,1,0.0114155251141553
2000,8784,4,0.0455373406193078
2001,8760,1,0.0114155251141553
2002,8760,2,0.0228310502283105
2003,8760,15,0.171232876712329
2004,8784,61,0.694444444444444
2005,8760,146,1.66666666666667
2006,8760,199,2.2716894977169
2007,8760,25,0.285388127853881
2008,8784,1,0.011384335154827
2009,8760,49,0.559360730593607
2010,8760,146,1.66666666666667
2011,8760,3,0.0342465753424658
2012,8784,121,1.37750455373406
2013,8760,194,2.21461187214612
2014,8760,8,0.091324200913242
2015,8760,5,0.0570776255707763
2016,8784,26,0.295992714025501
2017,8760,7,0.0799086757990868
2018,8760,226,2.57990867579909
2019,8760,30,0.342465753424658
