"year","n","missing","perc_missing"
2000,8784,279,3.17622950819672
2001,8760,139,1.58675799086758
2002,8760,194,2.21461187214612
2003,8760,266,3.0365296803653
2004,8784,370,4.21220400728597
2005,8760,1951,22.2716894977169
2006,8760,396,4.52054794520548
2007,8760,322,3.67579908675799
2008,8784,409,4.65619307832423
2009,8760,444,5.06849315068493
2010,8760,829,9.4634703196347
2011,8760,49,0.559360730593607
2012,8784,2,0.0227686703096539
2013,8760,316,3.60730593607306
2014,8760,97,1.10730593607306
2015,8760,53,0.605022831050228
2016,8784,5,0.0569216757741348
2017,8760,451,5.14840182648402
2018,8760,171,1.95205479452055
2019,8760,49,0.559360730593607
