"year","n","missing","perc_missing"
1995,8760,34,0.388127853881279
1996,8784,70,0.796903460837887
1997,8760,106,1.21004566210046
1998,8760,1,0.0114155251141553
1999,8760,4,0.045662100456621
2000,8784,2,0.0227686703096539
2001,8760,14,0.159817351598174
2002,8760,120,1.36986301369863
2003,8760,32,0.365296803652968
2004,8784,100,1.1384335154827
2005,8760,146,1.66666666666667
2006,8760,103,1.17579908675799
2007,8760,1,0.0114155251141553
2008,8784,204,2.3224043715847
2009,8760,315,3.5958904109589
2010,8760,766,8.74429223744292
2011,8760,888,10.1369863013699
2012,8784,494,5.62386156648452
2013,8760,540,6.16438356164384
2014,8760,205,2.34018264840183
2015,8760,16,0.182648401826484
2016,8784,725,8.25364298724955
2017,8760,4,0.045662100456621
2018,8760,49,0.559360730593607
2019,8760,54,0.616438356164384
