"year","n","missing","perc_missing"
1996,8784,252,2.86885245901639
1997,8760,50,0.570776255707763
1998,8760,59,0.67351598173516
1999,8760,33,0.376712328767123
2000,8784,56,0.63752276867031
2001,8760,203,2.31735159817352
2002,8760,19,0.21689497716895
2003,8760,78,0.89041095890411
2004,8784,101,1.14981785063752
2005,8760,85,0.970319634703196
2006,8760,78,0.89041095890411
2007,8760,169,1.92922374429224
2008,8784,160,1.82149362477231
2009,8760,2610,29.7945205479452
2010,8760,497,5.67351598173516
2011,8760,505,5.7648401826484
2012,8784,253,2.88023679417122
2013,8760,1316,15.0228310502283
2014,8760,905,10.3310502283105
2015,8760,849,9.69178082191781
2016,8784,73,0.831056466302368
2017,8760,298,3.40182648401826
2018,8760,125,1.42694063926941
2019,8760,494,5.63926940639269
