"year","n","missing","perc_missing"
1995,8760,166,1.89497716894977
1996,8784,348,3.96174863387978
1997,8760,205,2.34018264840183
1998,8760,426,4.86301369863014
1999,8760,185,2.11187214611872
2000,8784,233,2.65255009107468
2001,8760,691,7.88812785388128
2002,8760,42,0.479452054794521
2003,8760,6,0.0684931506849315
2004,8784,74,0.842440801457195
2005,8760,1,0.0114155251141553
2006,8760,7,0.0799086757990868
2007,8760,674,7.69406392694064
2008,8784,192,2.18579234972678
2009,8760,219,2.5
2010,8760,252,2.87671232876712
2011,8760,1,0.0114155251141553
2012,8784,76,0.865209471766849
2013,8760,553,6.31278538812785
2014,8760,665,7.59132420091324
2015,8760,323,3.68721461187215
2016,8784,3,0.0341530054644809
2017,8760,8,0.091324200913242
2018,8760,53,0.605022831050228
2019,8760,876,10
