"year","n","missing","perc_missing"
1995,8760,3,0.0342465753424658
1996,8784,20,0.227686703096539
1997,8760,54,0.616438356164384
1998,8760,1,0.0114155251141553
1999,8760,1,0.0114155251141553
2000,8784,1,0.011384335154827
2001,8760,26,0.296803652968037
2002,8760,47,0.536529680365297
2003,8760,394,4.49771689497717
2004,8784,16,0.182149362477231
2005,8760,25,0.285388127853881
2006,8760,1086,12.3972602739726
2007,8760,283,3.23059360730594
2008,8784,10,0.11384335154827
2009,8760,858,9.79452054794521
2010,8760,611,6.97488584474886
2011,8760,756,8.63013698630137
2012,8784,168,1.91256830601093
2013,8760,125,1.42694063926941
2014,8760,275,3.13926940639269
2015,8760,44,0.502283105022831
2016,8784,371,4.2235883424408
2017,8760,458,5.22831050228311
2018,8760,257,2.9337899543379
2019,8760,75,0.856164383561644
