"year","n","missing","perc_missing"
1995,8760,377,4.30365296803653
1996,8784,193,2.1971766848816
1997,8760,276,3.15068493150685
1998,8760,411,4.69178082191781
1999,8760,131,1.49543378995434
2000,8784,95,1.08151183970856
2001,8760,417,4.76027397260274
2002,8760,1100,12.5570776255708
2003,8760,2,0.0228310502283105
2004,8784,26,0.295992714025501
2005,8760,173,1.97488584474886
2006,8760,223,2.54566210045662
2007,8760,6,0.0684931506849315
2008,8784,77,0.876593806921676
2009,8760,2,0.0228310502283105
2010,8760,1158,13.2191780821918
2011,8760,755,8.61872146118722
2012,8784,1,0.011384335154827
2013,8760,289,3.29908675799087
2014,8760,985,11.2442922374429
2015,8760,148,1.68949771689498
2016,8784,104,1.183970856102
2017,8760,268,3.05936073059361
2018,8760,296,3.37899543378995
2019,8760,53,0.605022831050228
