"year","n","missing","perc_missing"
1999,8760,388,4.42922374429224
2000,8784,341,3.88205828779599
2001,8760,95,1.08447488584475
2002,8760,625,7.13470319634703
2003,8760,52,0.593607305936073
2004,8784,374,4.25774134790528
2005,8760,55,0.627853881278539
2006,8760,165,1.88356164383562
2007,8760,28,0.319634703196347
2008,8784,13,0.14799635701275
2009,8760,91,1.03881278538813
2010,8760,299,3.41324200913242
2011,8760,5,0.0570776255707763
2012,8784,144,1.63934426229508
2013,8760,241,2.75114155251142
2014,8760,4,0.045662100456621
2015,8760,1,0.0114155251141553
2016,8784,125,1.42304189435337
2017,8760,28,0.319634703196347
2018,8760,54,0.616438356164384
2019,8760,151,1.72374429223744
