"year","n","missing","perc_missing"
1995,8760,498,5.68493150684932
1996,8784,1068,12.1584699453552
1997,8760,281,3.20776255707763
1998,8760,354,4.04109589041096
1999,8760,202,2.30593607305936
2000,8784,245,2.7891621129326
2001,8760,92,1.05022831050228
2002,8760,123,1.4041095890411
2003,8760,276,3.15068493150685
2004,8784,566,6.44353369763206
2005,8760,104,1.18721461187215
2006,8760,103,1.17579908675799
2007,8760,158,1.80365296803653
2008,8784,521,5.93123861566484
2009,8760,164,1.87214611872146
2010,8760,398,4.54337899543379
2011,8760,120,1.36986301369863
2012,8784,145,1.65072859744991
2013,8760,146,1.66666666666667
2014,8760,25,0.285388127853881
2015,8760,426,4.86301369863014
2016,8784,25,0.284608378870674
2017,8760,105,1.1986301369863
2018,8760,121,1.38127853881279
2019,8760,25,0.285388127853881
