"year","n","missing","perc_missing"
1995,8760,1360,15.5251141552511
1996,8784,1027,11.6917122040073
1997,8760,525,5.99315068493151
1998,8760,1472,16.8036529680365
1999,8760,514,5.8675799086758
2000,8784,403,4.58788706739526
2001,8760,47,0.536529680365297
2002,8760,255,2.91095890410959
2003,8760,6,0.0684931506849315
2004,8784,209,2.37932604735883
2005,8760,115,1.31278538812785
2006,8760,64,0.730593607305936
2007,8760,52,0.593607305936073
2008,8784,56,0.63752276867031
2009,8760,2,0.0228310502283105
2010,8760,386,4.40639269406393
2011,8760,1,0.0114155251141553
2012,8784,472,5.37340619307832
2013,8760,500,5.70776255707763
2014,8760,17,0.194063926940639
2015,8760,209,2.38584474885845
2016,8784,101,1.14981785063752
2017,8760,102,1.16438356164384
2018,8760,222,2.53424657534247
2019,8760,291,3.32191780821918
