"year","n","missing","perc_missing"
1995,8760,428,4.88584474885845
1996,8784,152,1.7304189435337
1997,8760,2342,26.7351598173516
1998,8760,399,4.55479452054795
1999,8760,981,11.1986301369863
2000,8784,89,1.0132058287796
2001,8760,34,0.388127853881279
2002,8760,15,0.171232876712329
2003,8760,554,6.32420091324201
2004,8784,211,2.40209471766849
2005,8760,545,6.22146118721461
2006,8760,378,4.31506849315068
2007,8760,170,1.94063926940639
2008,8784,41,0.466757741347905
2009,8760,179,2.04337899543379
2010,8760,385,4.39497716894977
2011,8760,246,2.80821917808219
2012,8784,1179,13.422131147541
2013,8760,1730,19.7488584474886
2014,8760,135,1.54109589041096
2015,8760,5,0.0570776255707763
2016,8784,49,0.557832422586521
2017,8760,29,0.331050228310502
2018,8760,174,1.98630136986301
2019,8760,483,5.51369863013699
