"year","n","missing","perc_missing"
2000,8783,201,2.28851189798474
2001,8760,200,2.28310502283105
2002,8760,37,0.422374429223744
2003,8760,97,1.10730593607306
2004,8784,21,0.239071038251366
2005,8760,26,0.296803652968037
2006,8760,18,0.205479452054795
2007,8760,60,0.684931506849315
2008,8784,17,0.193533697632058
2009,8760,203,2.31735159817352
2010,8760,1167,13.3219178082192
2011,8760,83,0.947488584474886
2012,8784,193,2.1971766848816
2013,8760,25,0.285388127853881
2014,8760,7,0.0799086757990868
2015,8760,242,2.76255707762557
2016,8784,176,2.00364298724954
2017,8760,1149,13.1164383561644
2018,8760,1007,11.4954337899543
2019,8760,365,4.16666666666667
