"year","n","missing","perc_missing"
1997,8760,47,0.536529680365297
1998,8760,43,0.490867579908676
1999,8760,139,1.58675799086758
2000,8784,73,0.831056466302368
2001,8760,111,1.26712328767123
2002,8760,8,0.091324200913242
2003,8760,71,0.810502283105023
2004,8784,90,1.02459016393443
2005,8760,64,0.730593607305936
2006,8760,104,1.18721461187215
2007,8760,114,1.3013698630137
2008,8784,52,0.591985428051002
2009,8760,98,1.11872146118721
2010,8760,244,2.78538812785388
2011,8760,32,0.365296803652968
2012,8784,52,0.591985428051002
2013,8760,49,0.559360730593607
2014,8760,278,3.17351598173516
2015,8760,15,0.171232876712329
2016,8784,80,0.910746812386157
2017,8760,76,0.867579908675799
2018,8760,99,1.13013698630137
2019,8760,103,1.17579908675799
