"year","n","missing","perc_missing"
2000,8784,170,1.93533697632058
2001,8760,1043,11.9063926940639
2002,8760,638,7.28310502283105
2003,8760,1229,14.0296803652968
2004,8784,445,5.066029143898
2005,8760,311,3.55022831050228
2006,8760,7,0.0799086757990868
2007,8760,336,3.83561643835616
2008,8784,462,5.25956284153005
2009,8760,269,3.07077625570776
2010,8760,505,5.7648401826484
2011,8760,121,1.38127853881279
2012,8784,1,0.011384335154827
2013,8760,242,2.76255707762557
2014,8760,107,1.22146118721461
2015,8760,839,9.57762557077626
2016,8784,2954,33.6293260473588
2017,8760,210,2.3972602739726
2018,8760,257,2.9337899543379
2019,8760,194,2.21461187214612
