"year","n","missing","perc_missing"
1995,8760,819,9.34931506849315
1996,8784,640,7.28597449908925
1997,8760,999,11.4041095890411
1998,8760,526,6.00456621004566
1999,8760,532,6.07305936073059
2000,8784,891,10.1434426229508
2001,8760,2847,32.5
2002,8760,918,10.4794520547945
2003,8760,117,1.33561643835616
2004,8784,341,3.88205828779599
2005,8760,99,1.13013698630137
2006,8760,290,3.31050228310502
2007,8760,170,1.94063926940639
2008,8784,1,0.011384335154827
2009,8760,112,1.27853881278539
2010,8760,683,7.79680365296804
2011,8760,73,0.833333333333333
2012,8784,217,2.47040072859745
2013,8760,720,8.21917808219178
2014,8760,145,1.65525114155251
2015,8760,304,3.4703196347032
2016,8784,174,1.98087431693989
2017,8760,266,3.0365296803653
2018,8760,1301,14.851598173516
2019,8760,947,10.810502283105
