"year","n","missing","perc_missing"
1996,8784,47,0.535063752276867
1997,8760,167,1.90639269406393
1998,8760,45,0.513698630136986
1999,8760,27,0.308219178082192
2000,8784,17,0.193533697632058
2001,8760,26,0.296803652968037
2002,8760,14,0.159817351598174
2003,8760,141,1.60958904109589
2004,8784,120,1.36612021857923
2005,8760,49,0.559360730593607
2006,8760,84,0.958904109589041
2007,8760,66,0.753424657534247
2008,8784,28,0.318761384335155
2009,8760,103,1.17579908675799
2010,8760,194,2.21461187214612
2011,8760,30,0.342465753424658
2012,8784,56,0.63752276867031
2013,8760,135,1.54109589041096
2014,8760,31,0.353881278538813
2015,8760,24,0.273972602739726
2016,8784,28,0.318761384335155
2017,8760,12,0.136986301369863
2018,8760,118,1.34703196347032
2019,8760,59,0.67351598173516
