"year","n","missing","perc_missing"
1995,8760,213,2.43150684931507
1996,8784,323,3.67714025500911
1997,8760,392,4.47488584474886
1998,8760,484,5.52511415525114
1999,8760,581,6.6324200913242
2000,8784,183,2.08333333333333
2001,8760,44,0.502283105022831
2002,8760,29,0.331050228310502
2003,8760,121,1.38127853881279
2004,8784,217,2.47040072859745
2005,8760,63,0.719178082191781
2006,8760,138,1.57534246575342
2007,8760,351,4.00684931506849
2008,8784,129,1.46857923497268
2009,8760,180,2.05479452054795
2010,8760,748,8.53881278538813
2011,8760,1,0.0114155251141553
2012,8784,385,4.38296903460838
2013,8760,252,2.87671232876712
2014,8760,17,0.194063926940639
2015,8760,363,4.14383561643836
2016,8784,15,0.170765027322404
2017,8760,1,0.0114155251141553
2018,8760,127,1.44977168949772
2019,8760,13,0.148401826484018
