"year","n","missing","perc_missing"
1995,8760,39,0.445205479452055
1996,8784,110,1.25227686703097
1997,8760,8,0.091324200913242
1998,8760,8,0.091324200913242
1999,8760,1,0.0114155251141553
2000,8784,3,0.0341530054644809
2001,8760,13,0.148401826484018
2002,8760,59,0.67351598173516
2003,8760,25,0.285388127853881
2004,8784,147,1.67349726775956
2005,8760,205,2.34018264840183
2006,8760,176,2.00913242009132
2007,8760,25,0.285388127853881
2008,8784,49,0.557832422586521
2009,8760,385,4.39497716894977
2010,8760,348,3.97260273972603
2011,8760,6,0.0684931506849315
2012,8784,76,0.865209471766849
2013,8760,207,2.36301369863014
2014,8760,30,0.342465753424658
2015,8760,59,0.67351598173516
2016,8784,80,0.910746812386157
2017,8760,99,1.13013698630137
2018,8760,174,1.98630136986301
2019,8760,241,2.75114155251142
