"year","n","missing","perc_missing"
1995,8749,357,4.08046633901017
1996,8784,657,7.47950819672131
1997,8760,64,0.730593607305936
1998,8760,118,1.34703196347032
1999,8760,307,3.50456621004566
2000,8784,108,1.22950819672131
2001,8760,404,4.61187214611872
2002,8760,86,0.981735159817352
2003,8760,187,2.13470319634703
2004,8784,347,3.95036429872495
2005,8760,481,5.49086757990868
2006,8760,242,2.76255707762557
2007,8760,341,3.89269406392694
2008,8784,397,4.5195810564663
2009,8760,349,3.98401826484018
2010,8760,792,9.04109589041096
2011,8760,372,4.24657534246575
2012,8784,518,5.89708561020036
2013,8760,592,6.75799086757991
2014,8760,155,1.76940639269406
2015,8760,540,6.16438356164384
2016,8784,565,6.43214936247723
2017,8760,723,8.25342465753425
2018,8760,937,10.6963470319635
2019,8760,581,6.6324200913242
