"year","n","missing","perc_missing"
1995,8760,56,0.639269406392694
1996,8784,151,1.71903460837887
1997,8760,27,0.308219178082192
1998,8760,22,0.251141552511416
1999,8760,23,0.262557077625571
2000,8784,43,0.489526411657559
2001,8760,69,0.787671232876712
2002,8760,16,0.182648401826484
2003,8760,20,0.228310502283105
2004,8784,25,0.284608378870674
2005,8760,70,0.799086757990868
2006,8760,35,0.399543378995434
2007,8760,116,1.32420091324201
2008,8784,14,0.159380692167577
2009,8760,73,0.833333333333333
2010,8760,162,1.84931506849315
2011,8760,28,0.319634703196347
2012,8784,97,1.10428051001821
2013,8760,231,2.63698630136986
2014,8760,22,0.251141552511416
2015,8760,313,3.57305936073059
2016,8784,11,0.125227686703097
2017,8760,128,1.46118721461187
2018,8760,177,2.02054794520548
2019,8760,30,0.342465753424658
